k_ind,t_sim,P_1,P_2,X_1,X_2,X_3,Y_m_1,Y_m_2
142,2.36666666666667,5.4,5.6,737.135647772746,477.778570798523,530.901512840857,735.836990195359,521.792811316544
143,2.38333333333333,5.4,5.6,737.135286696069,477.781995396905,530.88362143641,736.923333675146,522.670170301453
144,2.4,5.4,5.6,737.134934288197,477.785417554034,530.865756584559,736.518060336613,518.754314276432
145,2.41666666666667,5.4,5.6,737.134590177665,477.788837050844,530.847918464185,736.40801909923,531.68766719738
146,2.43333333333333,5.4,5.6,737.134254009593,477.792253678784,530.83010724372,736.27620398109,553.455309746
147,2.45,5.4,5.6,737.133925444943,477.79566723935,530.812323081617,736.738026069831,523.124122079359
148,2.46666666666667,5.4,5.6,737.133604159811,477.799077543631,530.794566126801,735.647648443786,527.781827919697
149,2.48333333333333,5.4,5.6,737.13328984475,477.802484411879,530.776836519103,737.848748076342,543.304778067605
150,2.5,5.4,5.6,737.132982204118,477.805887673097,530.759134389667,737.518866799398,543.784836427195
151,2.51666666666667,5.4,5.6,737.132680955472,477.809287164647,530.741459861346,737.117820289553,535.956170062349
152,2.53333333333333,5.4,5.6,737.132385828962,477.812682731872,530.723813049078,737.106585683129,541.743230110823
153,2.55,5.4,5.6,737.132096566782,477.81607422774,530.706194060242,736.539859187036,540.05779152668
154,2.56666666666667,5.4,5.6,737.131812922622,477.8194615125,530.688602995002,737.887677401961,526.588523379816
155,2.58333333333333,5.4,5.6,737.131534661156,477.822844453353,530.671039946636,737.032687291361,535.277351057722
156,2.6,5.4,5.6,737.131261557552,477.826222924143,530.653505001846,736.601080176021,527.4408432168
157,2.61666666666667,5.4,5.6,737.130993397,477.829596805056,530.635998241057,738.133721637172,520.971410336262
158,2.63333333333333,5.4,5.6,737.130729974267,477.832965982334,530.618519738702,736.963949850676,537.435685992603
159,2.65,5.4,5.6,737.130471093266,477.836330348004,530.601069563498,736.693411552471,531.325521128997
160,2.66666666666667,5.4,5.6,737.130216566646,477.839689799616,530.5836477787,736.912251397127,528.573973127103
161,2.68333333333333,5.4,5.6,737.129966215406,477.843044239997,530.566254442354,736.500804942626,533.69940730908
162,2.7,5.4,5.6,737.129719868513,477.846393577012,530.548889607536,736.298584668991,541.156730598667
163,2.71666666666667,5.4,5.6,737.129477362557,477.849737723335,530.531553322572,739.003769134109,534.751670603057
164,2.73333333333333,5.4,5.6,737.129238541399,477.853076596235,530.514245631261,738.357617755322,532.603727388301
165,2.75,5.4,5.6,737.129003255854,477.856410117371,530.496966573081,737.357194344009,533.501857005701
166,2.76666666666667,5.4,5.6,737.128771363374,477.859738212585,530.479716183382,736.195989540735,531.029822332591
167,2.78333333333333,5.4,5.6,737.128542727754,477.863060811726,530.462494493581,736.486365449082,522.144727033672
168,2.8,5.4,5.6,737.128317218849,477.866377848458,530.445301531339,736.997328906089,538.895337101066
169,2.81666666666667,5.4,5.6,737.128094712301,477.869689260097,530.428137320734,737.715325430029,545.559797974404
170,2.83333333333333,5.4,5.6,737.127875089281,477.872994987439,530.411001882425,736.139527808666,524.674783092501
171,2.85,5.4,5.6,737.127658236244,477.876294974604,530.39389523381,735.398896806637,551.098020769988
172,2.86666666666667,5.4,5.6,737.127444044687,477.879589168892,530.376817389175,736.052213853401,528.483918731628
173,2.88333333333333,5.4,5.6,737.127232410929,477.882877520631,530.359768359839,737.374697449064,527.741889466734
174,2.9,5.4,5.6,737.127023235894,477.886159983045,530.34274815429,737.417407610383,520.702517079745
175,2.91666666666667,5.4,5.6,737.126816424902,477.889436512123,530.325756778317,737.461962553747,521.816058847067
176,2.93333333333333,5.4,5.6,737.126611887477,477.89270706649,530.308794235132,737.029940674843,520.073846054293
177,2.95,5.4,5.6,737.126409537155,477.895971607292,530.291860525494,737.262706846285,534.092805103993
178,2.96666666666667,5.4,5.6,737.12620929131,477.89923009808,530.274955647819,736.772903752979,547.427018366625
179,2.98333333333333,5.4,5.6,737.126011070975,477.902482504699,530.258079598289,737.76563110675,535.923110095554
180,3,5.4,5.6,737.125814800682,477.905728795189,530.241232370962,736.115437503296,539.415365085332
181,3.01666666666667,5.4,5.6,737.12562040831,477.908968939679,530.224413957861,737.463252339192,544.635845604634
182,3.03333333333333,5.4,5.6,737.125427824926,477.912202910298,530.20762434908,736.495685465015,503.362635182755
183,3.05,5.4,5.6,737.125236984651,477.915430681078,530.190863532867,736.87675087594,528.391276412764
184,3.06666666666667,5.4,5.6,737.125047824519,477.918652227875,530.174131495714,737.53521306721,533.965515973736
185,3.08333333333333,5.4,5.6,737.124860284347,477.921867528279,530.157428222438,737.895865549247,537.860733234202
186,3.1,5.4,5.6,737.124674306611,477.925076561537,530.140753696262,736.295386403629,516.126647096284
187,3.11666666666667,5.4,5.6,737.124489836331,477.928279308482,530.124107898886,738.059898598498,519.321075357155
188,3.13333333333333,5.4,5.6,737.124306820948,477.931475751454,530.107490810569,737.614133031605,538.599431275655
189,3.15,5.4,5.6,737.124125210226,477.934665874234,530.090902410186,737.073768969498,528.83892634039
190,3.16666666666667,5.4,5.6,737.123944956144,477.937849661979,530.0743426753,736.979090827303,536.014528071113
191,3.18333333333333,5.4,5.6,737.123766012793,477.941027101158,530.057811582225,736.962302100987,519.740486379542
192,3.2,5.4,5.6,737.123588336287,477.944198179491,530.041309106086,736.898682481244,512.494271375271
193,3.21666666666667,5.4,5.6,737.123411884672,477.947362885896,530.024835220872,737.140511737996,538.200126248122
194,3.23333333333333,5.4,5.6,737.123236617837,477.950521210426,530.008389899497,737.161294061876,542.824508708788
195,3.25,5.4,5.6,737.123062497433,477.953673144226,529.991973113848,737.73600108777,547.520267612838
196,3.26666666666667,5.4,5.6,737.122889486795,477.956818679474,529.975584834836,738.255906188351,513.519868498984
197,3.28333333333333,5.4,5.6,737.122717550867,477.959957809342,529.959225032445,737.469168062145,515.601430205749
198,3.3,5.4,5.6,737.122546656127,477.963090527942,529.942893675774,736.966939359042,514.113782287163
199,3.31666666666667,5.4,5.6,737.122376770522,477.966216830289,529.926590733088,737.586268015481,529.479129315144
200,3.33333333333333,5.4,5.6,737.122207863402,477.969336712256,529.910316171849,737.258162492549,523.29976739257
201,3.35,5.4,5.6,737.122039905454,477.972450170533,529.894069958764,736.357952388127,544.008092605017
202,3.36666666666667,5.4,5.6,737.121872868646,477.975557202594,529.877852059821,737.826195467345,514.250436963962
203,3.38333333333333,5.4,5.6,737.121706726167,477.978657806655,529.861662440323,737.349546670174,511.148831811105
204,3.4,5.4,5.6,737.121541452376,477.981751981643,529.845501064924,737.221841259414,532.050473363482
205,3.41666666666667,5.4,5.6,737.121377022746,477.984839727161,529.82936789766,737.503689803705,542.641440377827
206,3.43333333333333,5.4,5.6,737.121213413816,477.987921043458,529.813262901989,737.315176906265,521.190942826183
207,3.45,5.4,5.6,737.121050603142,477.990995931397,529.797186040807,736.422468161093,516.204250865971
208,3.46666666666667,5.4,5.6,737.120888569255,477.994064392428,529.781137276489,737.000434016035,528.177318543298
209,3.48333333333333,5.4,5.6,737.120727291615,477.997126428558,529.765116570911,737.012354752941,512.189679246464
210,3.5,5.4,5.6,737.120566750566,478.000182042327,529.749123885476,736.725814308974,529.935402161985
211,3.51666666666667,5.4,5.6,737.120406927305,478.003231236781,529.733159181141,738.368527794545,538.630038417886
212,3.53333333333333,5.4,5.6,737.120247803837,478.006274015451,529.717222418441,736.470456628986,532.055732280059
213,3.55,5.4,5.6,737.120089362939,478.009310382326,529.70131355751,736.761098595758,509.196023317948
214,3.56666666666667,5.4,5.6,737.119931588132,478.012340341832,529.685432558103,736.591624212754,523.919966197475
215,3.58333333333333,5.4,5.6,737.119774463641,478.015363898816,529.669579379619,736.2485089137,526.425752494305
216,3.6,5.4,5.6,737.119617974365,478.018381058519,529.653753981119,736.976976252351,549.131626067032
217,3.61666666666667,5.4,5.6,737.11946210585,478.02139182656,529.637956321346,736.91610199524,539.463464146859
218,3.63333333333333,5.4,5.6,737.119306844255,478.024396208918,529.622186358741,738.254620649958,529.009139469819
219,3.65,5.4,5.6,737.119152176331,478.027394211916,529.606444051463,736.934375817385,543.668992767351
220,3.66666666666667,5.4,5.6,737.118998089388,478.0303858422,529.590729357406,736.329351737024,518.370266345487
221,3.68333333333333,5.4,5.6,737.118844571277,478.033371106729,529.575042234212,738.308609886482,525.834656691211
222,3.7,5.4,5.6,737.118691610359,478.036350012753,529.559382639286,738.034823537352,544.730289505518
223,3.71666666666667,5.4,5.6,737.118539195486,478.039322567805,529.543750529813,736.948156368871,545.679343182793
224,3.73333333333333,5.4,5.6,737.11838731598,478.042288779683,529.528145862773,736.000816815627,537.372384044103
225,3.75,5.4,5.6,737.11823596161,478.045248656437,529.512568594948,736.788322121806,534.78324799519
226,3.76666666666667,5.4,5.6,737.118085122571,478.04820220636,529.49701868294,737.002376874063,523.202023943889
227,3.78333333333333,5.4,5.6,737.117934789469,478.051149437971,529.48149608318,737.322777433886,537.481718328737
228,3.8,5.4,5.6,737.117784953298,478.054090360007,529.466000751942,736.924001528131,520.57161637623
229,3.81666666666667,5.4,5.6,737.117635605426,478.05702498141,529.450532645353,737.446654664801,535.620885303268
230,3.83333333333333,5.4,5.6,737.117486737578,478.059953311318,529.4350917194,737.408272240977,532.46206816901
231,3.85,5.4,5.6,737.117338341819,478.062875359054,529.419677929946,736.189334592954,541.655827259334
232,3.86666666666667,5.4,5.6,737.117190410539,478.065791134117,529.404291232734,736.413803406169,524.830470571294
233,3.88333333333333,5.4,5.6,737.117042936439,478.068700646172,529.388931583401,736.567142214736,536.221074017069
234,3.9,5.4,5.6,737.116895912518,478.071603905043,529.373598937481,736.740095290211,537.892331531605
235,3.91666666666667,5.4,5.6,737.116749332057,478.074500920701,529.358293250419,736.87888230616,519.709723044977
236,3.93333333333333,5.4,5.6,737.116603188609,478.07739170326,529.343014477574,737.1258552173,531.021084105115
237,3.95,5.4,5.6,737.116457475987,478.080276262969,529.32776257423,734.868807888665,546.482269581351
238,3.96666666666667,5.4,5.6,737.116312188249,478.083154610203,529.312537495601,736.777207324722,530.520139987378
239,3.98333333333333,5.4,5.6,737.116167319691,478.086026755454,529.29733919684,738.038064037233,525.982707399805
240,4,5.4,5.6,737.116022864836,478.088892709331,529.282167633043,736.32453042679,534.18669183494
241,4.01666666666667,5.4,5.6,737.115878818423,478.091752482546,529.267022759257,737.808705115125,526.312439838961
242,4.03333333333333,5.4,5.6,737.115735175396,478.094606085915,529.251904530485,737.375673358402,534.011266888823
243,4.05,5.4,5.6,737.115591930895,478.097453530347,529.236812901692,737.094069654224,527.789435440689
